idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1841,08/12/2018,Tr,NO,SI,14,20,24,25,39,07
1841,08/12/2018,Re,NO,SI,01,15,24,29,33,13
1840,05/12/2018,Tr,NO,SI,01,14,15,18,25,13
1840,05/12/2018,Re,NO,SI,02,30,32,35,36,12
1839,01/12/2018,Tr,NO,SI,03,06,23,25,38,01
1839,01/12/2018,Re,NO,SI,12,19,20,33,39,12
1838,28/11/2018,Tr,NO,SI,02,04,16,30,40,03
1838,28/11/2018,Re,NO,SI,02,04,32,33,41,09
1837,24/11/2018,Tr,NO,SI,05,13,22,34,43,02
1837,24/11/2018,Re,NO,SI,09,10,15,22,24,11
1836,21/11/2018,Tr,NO,SI,01,15,19,21,42,08
1836,21/11/2018,Re,NO,SI,04,06,18,32,42,01
1835,17/11/2018,Tr,NO,SI,10,12,13,32,38,02
1835,17/11/2018,Re,NO,SI,11,13,14,23,42,14
1834,14/11/2018,Tr,NO,SI,11,20,21,23,32,12
1834,14/11/2018,Re,NO,SI,01,06,17,26,35,06
1833,10/11/2018,Tr,NO,SI,05,23,24,29,43,02
1833,10/11/2018,Re,NO,SI,08,10,30,35,40,01
1832,07/11/2018,Tr,NO,SI,08,20,32,36,40,08
1832,07/11/2018,Re,NO,SI,11,14,16,19,33,11
1831,03/11/2018,Tr,NO,SI,09,14,28,33,43,01
1831,03/11/2018,Re,NO,SI,03,10,28,29,33,05
1830,31/10/2018,Tr,NO,SI,08,17,21,25,40,16
1830,31/10/2018,Re,NO,SI,05,26,31,39,40,16
1829,27/10/2018,Tr,NO,SI,06,20,33,36,41,09
1829,27/10/2018,Re,NO,SI,08,12,15,27,35,16
1828,24/10/2018,Tr,NO,SI,01,07,11,16,23,03
1828,24/10/2018,Re,NO,SI,06,14,15,28,30,15
1827,20/10/2018,Tr,NO,SI,19,20,34,38,39,03
1827,20/10/2018,Re,NO,SI,03,17,21,28,31,16
1826,17/10/2018,Tr,NO,SI,05,13,14,35,42,11
1826,17/10/2018,Re,NO,SI,16,17,23,34,36,08
1825,13/10/2018,Tr,NO,SI,11,21,27,41,43,12
1825,13/10/2018,Re,NO,SI,07,23,33,35,36,08
1824,10/10/2018,Tr,NO,SI,19,26,33,34,42,08
1824,10/10/2018,Re,NO,SI,06,07,16,38,39,12
1823,06/10/2018,Tr,NO,SI,08,16,25,36,37,12
1823,06/10/2018,Re,NO,SI,14,20,28,36,37,12
1822,03/10/2018,Tr,NO,SI,05,18,19,25,41,11
1822,03/10/2018,Re,NO,SI,23,26,28,37,43,13
1821,29/09/2018,Tr,NO,SI,10,14,20,21,41,11
1821,29/09/2018,Re,NO,SI,09,18,25,38,39,10
1820,26/09/2018,Tr,NO,SI,02,04,06,07,13,02
1820,26/09/2018,Re,NO,SI,05,06,15,27,30,06
1819,22/09/2018,Tr,NO,SI,20,23,35,36,41,14
1819,22/09/2018,Re,NO,SI,02,08,20,22,28,06
1818,19/09/2018,Tr,NO,SI,08,24,26,33,35,06
1818,19/09/2018,Re,NO,SI,09,22,25,30,40,06
1817,15/09/2018,Tr,NO,SI,02,05,09,34,42,13
1817,15/09/2018,Re,NO,SI,06,27,28,36,40,04
1816,12/09/2018,Tr,NO,SI,03,18,34,42,43,04
1816,12/09/2018,Re,NO,SI,02,05,17,20,23,03
1815,08/09/2018,Tr,SI,SI,08,09,19,23,38,14
1815,08/09/2018,Re,NO,SI,04,08,18,20,24,12
