idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1819,22/09/2018,Tr,NO,SI,20,23,35,36,41,14
1819,22/09/2018,Re,NO,SI,02,08,20,22,28,06
1820,26/09/2018,Tr,NO,SI,02,04,06,07,13,02
1820,26/09/2018,Re,NO,SI,05,06,15,27,30,06
1821,29/09/2018,Tr,NO,SI,10,14,20,21,41,11
1821,29/09/2018,Re,NO,SI,09,18,25,38,39,10
1822,03/10/2018,Tr,NO,SI,05,18,19,25,41,11
1822,03/10/2018,Re,NO,SI,23,26,28,37,43,13
1823,06/10/2018,Tr,NO,SI,08,16,25,36,37,12
1823,06/10/2018,Re,NO,SI,14,20,28,36,37,12
1824,10/10/2018,Tr,NO,SI,19,26,33,34,42,08
1824,10/10/2018,Re,NO,SI,06,07,16,38,39,12
1825,13/10/2018,Tr,NO,SI,11,21,27,41,43,12
1825,13/10/2018,Re,NO,SI,07,23,33,35,36,08
1826,17/10/2018,Tr,NO,SI,05,13,14,35,42,11
1826,17/10/2018,Re,NO,SI,16,17,23,34,36,08
1827,20/10/2018,Tr,NO,SI,19,20,34,38,39,03
1827,20/10/2018,Re,NO,SI,03,17,21,28,31,16
1828,24/10/2018,Tr,NO,SI,01,07,11,16,23,03
1828,24/10/2018,Re,NO,SI,06,14,15,28,30,15
1829,27/10/2018,Tr,NO,SI,06,20,33,36,41,09
1829,27/10/2018,Re,NO,SI,08,12,15,27,35,16
1830,31/10/2018,Tr,NO,SI,08,17,21,25,40,16
1830,31/10/2018,Re,NO,SI,05,26,31,39,40,16
1831,03/11/2018,Tr,NO,SI,09,14,28,33,43,01
1831,03/11/2018,Re,NO,SI,03,10,28,29,33,05
1832,07/11/2018,Tr,NO,SI,08,20,32,36,40,08
1832,07/11/2018,Re,NO,SI,11,14,16,19,33,11
1833,10/11/2018,Tr,NO,SI,05,23,24,29,43,02
1833,10/11/2018,Re,NO,SI,08,10,30,35,40,01
1834,14/11/2018,Tr,NO,SI,11,20,21,23,32,12
1834,14/11/2018,Re,NO,SI,01,06,17,26,35,06
1835,17/11/2018,Tr,NO,SI,10,12,13,32,38,02
1835,17/11/2018,Re,NO,SI,11,13,14,23,42,14
1836,21/11/2018,Tr,NO,SI,01,15,19,21,42,08
1836,21/11/2018,Re,NO,SI,04,06,18,32,42,01
1837,24/11/2018,Tr,NO,SI,05,13,22,34,43,02
1837,24/11/2018,Re,NO,SI,09,10,15,22,24,11
1838,28/11/2018,Tr,NO,SI,02,04,16,30,40,03
1838,28/11/2018,Re,NO,SI,02,04,32,33,41,09
1839,01/12/2018,Tr,NO,SI,03,06,23,25,38,01
1839,01/12/2018,Re,NO,SI,12,19,20,33,39,12
1840,05/12/2018,Tr,NO,SI,01,14,15,18,25,13
1840,05/12/2018,Re,NO,SI,02,30,32,35,36,12
1841,08/12/2018,Tr,NO,SI,14,20,24,25,39,07
1841,08/12/2018,Re,NO,SI,01,15,24,29,33,13
1842,12/12/2018,Tr,NO,SI,04,17,36,37,43,11
1842,12/12/2018,Re,NO,SI,07,22,25,32,33,10
1843,15/12/2018,Tr,NO,SI,04,13,25,31,33,05
1843,15/12/2018,Re,NO,SI,01,08,10,12,40,16
1844,19/12/2018,Tr,NO,SI,15,27,28,41,42,04
1844,19/12/2018,Re,NO,SI,02,32,34,41,43,10
1845,22/12/2018,Tr,NO,SI,03,07,11,39,41,02
1845,22/12/2018,Re,NO,SI,01,40,41,42,43,08
1846,26/12/2018,Tr,NO,SI,09,13,31,33,41,03
1846,26/12/2018,Re,NO,SI,03,23,30,32,40,10
1847,29/12/2018,Tr,NO,SI,10,14,29,30,42,02
1847,29/12/2018,Re,NO,SI,02,06,22,28,34,09
1848,02/01/2019,Tr,NO,SI,09,14,25,26,37,07
1848,02/01/2019,Re,NO,SI,01,09,17,33,42,10
1849,05/01/2019,Tr,NO,SI,10,14,19,39,41,01
1849,05/01/2019,Re,NO,SI,10,13,21,34,43,11
1850,09/01/2019,Re,NO,SI,01,04,08,14,41,03
1850,09/01/2019,Tr,NO,SI,05,20,27,30,38,16
1851,12/01/2019,Tr,NO,SI,02,19,22,28,32,11
1851,12/01/2019,Re,NO,SI,21,31,33,35,41,09
1852,16/01/2019,Tr,NO,SI,06,13,15,26,31,03
1852,16/01/2019,Re,NO,SI,12,17,27,29,32,08
1853,19/01/2019,Tr,NO,SI,08,15,28,38,42,07
1853,19/01/2019,Re,NO,SI,08,18,19,32,42,15
1854,23/01/2019,Tr,NO,SI,07,09,16,24,31,03
1854,23/01/2019,Re,NO,SI,08,12,29,30,31,01
1855,26/01/2019,Tr,NO,SI,03,07,11,19,25,03
1855,26/01/2019,Re,NO,SI,05,20,26,34,37,07
1856,30/01/2019,Tr,NO,SI,16,18,19,21,38,07
1856,30/01/2019,Re,NO,SI,09,10,13,14,37,10
1857,02/02/2019,Tr,NO,SI,16,17,21,22,43,03
1857,02/02/2019,Re,NO,SI,20,22,23,26,28,10
1858,06/02/2019,Tr,NO,SI,01,10,23,38,43,07
1858,06/02/2019,Re,NO,SI,16,17,31,36,38,04
1859,09/02/2019,Tr,NO,SI,03,05,30,37,39,12
1859,09/02/2019,Re,NO,SI,11,13,18,21,37,01
1860,13/02/2019,Tr,NO,SI,01,05,06,08,27,14
1860,13/02/2019,Re,NO,SI,05,17,27,29,30,03
1861,16/02/2019,Tr,NO,SI,19,25,28,31,40,11
1861,16/02/2019,Re,NO,SI,06,13,14,30,34,05
1862,20/02/2019,Tr,NO,SI,03,10,32,40,42,15
1862,20/02/2019,Re,NO,SI,02,19,25,26,28,12
1863,23/02/2019,Tr,NO,SI,03,07,14,19,22,04
1863,23/02/2019,Re,NO,SI,03,05,07,13,16,13
1864,27/02/2019,Tr,NO,SI,06,10,12,18,39,07
1864,27/02/2019,Re,NO,SI,03,20,24,27,28,09
1865,02/03/2019,Tr,NO,SI,06,22,25,28,40,05
1865,02/03/2019,Re,NO,SI,10,14,29,35,37,01
1866,06/03/2019,Tr,NO,SI,02,04,12,18,35,07
1866,06/03/2019,Re,NO,SI,07,11,17,18,43,05
1867,09/03/2019,Tr,NO,SI,24,29,34,35,40,13
1867,09/03/2019,Re,NO,SI,01,08,12,14,30,07
1868,13/03/2019,Tr,NO,SI,06,08,13,14,37,06
1868,13/03/2019,Re,NO,SI,01,08,10,15,40,02
1869,16/03/2019,Tr,NO,SI,05,16,26,32,36,03
1869,16/03/2019,Re,NO,SI,01,14,31,34,42,14
1870,20/03/2019,Tr,NO,SI,06,22,33,36,41,13
1870,20/03/2019,Re,NO,SI,17,26,30,37,40,13
1871,23/03/2019,Tr,NO,SI,18,20,21,35,43,05
1871,23/03/2019,Re,NO,SI,06,24,27,32,39,02
1872,27/03/2019,Tr,NO,SI,03,15,20,23,25,11
1872,27/03/2019,Re,NO,SI,03,09,15,29,41,02
1873,30/03/2019,Tr,NO,SI,06,17,24,39,43,16
1873,30/03/2019,Re,NO,SI,02,09,18,31,42,13
1874,03/04/2019,Tr,NO,SI,03,04,22,40,41,14
1874,03/04/2019,Re,NO,SI,03,20,22,33,35,09
1875,06/04/2019,Tr,NO,SI,20,29,32,34,37,06
1875,06/04/2019,Re,NO,SI,07,13,28,34,40,15
